run_id,pooling,l2,calibration,threshold_mode,t_star,ap,auc,f1_at_0p5,f1_at_tstar,acc_at_tstar,brier,ece,youdenJ_val,t_J,F1_val_at_t_star
1,CLS,0,0,0.5,0.5,0.4444444444444444,0.4,0.0,0.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0
2,CLS,0,1,t*,0.0,0.4444444444444444,0.5,0.6153846153846154,0.6153846153846154,0.4444444444444444,0.25,0.05555555555555558,0.0,0.0,0.6666666666666666
3,CLS,1,0,t*,0.0,0.4444444444444444,0.4,0.0,0.6153846153846154,0.4444444444444444,0.4404831571298981,0.43996542691782553,0.0,0.0,0.6666666666666666
4,CLS,1,1,0.5,0.5,0.4444444444444444,0.5,0.6153846153846154,0.6153846153846154,0.4444444444444444,0.25,0.05555555555555558,0.0,0.0,0.6666666666666666
5,MEAN,0,0,t*,0.0,0.4444444444444444,0.5,0.6153846153846154,0.6153846153846154,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,0.0,0.6666666666666666
6,MEAN,0,1,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.06915193525749797,0.21705443799518084,0.75,0.39,0.75
7,MEAN,1,0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.049723082589626176,0.19585406330962093,0.75,0.451,0.8571428571428571
8,MEAN,1,1,t*,0.601,1.0,1.0,1.0,1.0,1.0,0.07602288716899634,0.2405969906067944,0.75,0.601,0.8571428571428571
