run_id,pooling,l2,calibration,threshold_mode,t_star,ap,auc,f1_at_0p5,f1_at_tstar,acc_at_tstar,brier,ece,youdenJ_val,t_J,F1_val_at_t_star
1,CLS,0,0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0
2,CLS,0,1,t*,0.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.2538321995437929,0.06190476188301547,0.0,0.0,0.6
3,CLS,1,0,t*,0.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.4955410440713849,0.4955209824733811,0.0,0.0,0.6
4,CLS,1,1,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.25383219947884966,0.06190476135847456,0.0,0.0,0.0
5,MEAN,0,0,t*,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.6
6,MEAN,0,1,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.1487203564246081,0.3121786142390527,1.0,0.269,1.0
7,MEAN,1,0,0.5,0.5,1.0,1.0,0.8571428571428571,0.8571428571428571,0.875,0.12850045125049894,0.3251051883983133,1.0,0.302,1.0
8,MEAN,1,1,t*,0.229,1.0,1.0,0.6666666666666666,0.8888888888888888,0.875,0.1345642536381325,0.23242156239259787,1.0,0.229,1.0
