Method,F1 Mean,F1 Std,Acc Mean,Acc Std,Trials
Frozen+LR,0.7592845857669938,0.013483791071347716,0.8070926143024618,0.009834035034079872,20
E2E+LR,0.7278499999999999,0.1568154379483964,0.7888999999999999,0.046699374502742204,20
Frozen+BERT,0.7656499999999998,0.01616127600486,0.80975,0.025753640519351802,20
E2E+BERT,0.8028000000000001,0.01859994340681824,0.8483,0.016933616519251064,20
